               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087458,            0.029117,                   0,             0.33607,             0.36957,             0.30983,             0.08914,            0.048397,             0.01584,                   0,            0.070263,           0.0033041,           0.0033041
                   1,            0.057621,            0.022767,                   0,             0.43332,             0.53382,             0.47067,             0.17517,            0.041651,            0.011491,                   0,            0.040197,           0.0065717,           0.0065717
                   2,            0.052702,            0.020203,                   0,             0.53737,             0.56113,             0.56837,             0.22326,            0.038663,            0.011042,                   0,            0.010066,           0.0097733,           0.0097733
                   3,            0.049696,            0.019444,                   0,             0.67781,             0.62319,             0.68616,             0.27797,            0.036823,            0.010565,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.046078,            0.019618,                   0,             0.64844,             0.66382,             0.66619,             0.27003,            0.036327,            0.010076,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.042823,            0.019192,                   0,             0.60447,             0.65217,             0.64137,              0.2576,            0.035453,           0.0099946,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.041652,            0.018474,                   0,              0.6403,             0.63768,              0.6461,             0.28513,            0.033182,            0.010595,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.039771,            0.018304,                   0,             0.65628,             0.66184,             0.67045,             0.29269,            0.034557,            0.010111,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.03895,            0.018905,                   0,             0.69599,             0.69565,             0.73752,             0.31192,            0.032185,            0.010157,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.038031,            0.017683,                   0,             0.69272,             0.71981,             0.73935,             0.30973,            0.031389,           0.0098833,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.037834,            0.018135,                   0,             0.78813,             0.74155,              0.7945,             0.37796,            0.030765,           0.0094328,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.03644,            0.017917,                   0,             0.78951,              0.7657,             0.79871,             0.36658,            0.029875,           0.0095424,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.036434,            0.017643,                   0,             0.71688,             0.77778,              0.7897,             0.35511,            0.030029,            0.009591,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.034976,            0.016789,                   0,             0.78321,             0.74638,             0.81107,              0.3825,            0.031354,           0.0094801,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.036382,            0.017062,                   0,             0.77148,             0.73391,             0.80523,             0.39488,             0.03037,           0.0095016,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.034537,             0.01699,                   0,             0.79764,             0.75217,             0.82833,             0.39576,            0.029855,           0.0093631,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.034391,            0.016689,                   0,             0.82439,             0.72705,             0.81113,             0.37419,            0.028892,           0.0094679,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.033098,            0.016607,                   0,             0.80203,             0.76329,             0.81262,             0.38796,            0.029077,           0.0096469,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.033173,             0.01678,                   0,             0.79752,             0.75121,             0.81062,             0.39687,            0.029605,           0.0097893,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.033598,             0.01608,                   0,              0.7444,             0.77381,             0.79439,             0.38257,            0.030064,            0.009359,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.030997,              0.0158,                   0,             0.77799,              0.7872,             0.82615,             0.39338,            0.029949,           0.0094614,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.032198,            0.015878,                   0,             0.75048,             0.80193,              0.7976,             0.38579,            0.029897,           0.0093654,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.030943,            0.015215,                   0,             0.78273,             0.78502,             0.83546,             0.41811,            0.029823,           0.0094081,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.031067,            0.015266,                   0,             0.74323,              0.7971,              0.8117,             0.39122,            0.029364,           0.0096217,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.031797,            0.015859,                   0,             0.77518,             0.79952,             0.81521,             0.39191,            0.029878,           0.0098578,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.031064,            0.015678,                   0,             0.79125,             0.79952,             0.82655,             0.40996,            0.029525,           0.0095098,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.031286,            0.015618,                   0,             0.78264,             0.78019,             0.81428,             0.40538,            0.029518,           0.0094878,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.029596,            0.014646,                   0,             0.78559,             0.77883,             0.80318,             0.39348,            0.029962,            0.010031,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.030005,            0.015098,                   0,             0.82992,             0.75604,             0.81332,              0.3854,            0.029366,           0.0098502,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.028651,            0.014974,                   0,             0.77687,              0.7821,             0.79941,             0.39224,            0.028059,           0.0098107,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.029578,            0.014956,                   0,             0.80275,             0.80435,             0.83316,             0.40509,            0.028497,           0.0098149,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.029242,            0.015104,                   0,             0.77481,             0.79952,             0.81533,             0.39838,              0.0289,            0.009683,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.028825,            0.015157,                   0,             0.83416,             0.78974,             0.83185,             0.41561,            0.028886,           0.0099631,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.029291,             0.01459,                   0,             0.78145,             0.80676,             0.82133,             0.40299,            0.028997,           0.0098314,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.028674,            0.014061,                   0,              0.7884,             0.79952,             0.82301,             0.41155,            0.029198,            0.010053,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.028568,            0.014435,                   0,             0.80243,             0.77536,             0.82904,             0.40729,            0.029139,            0.010019,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.028196,            0.014059,                   0,             0.81557,             0.79043,              0.8636,              0.4222,            0.028687,           0.0099432,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.027378,            0.013811,                   0,             0.83975,             0.74682,             0.83219,             0.40162,            0.028986,            0.010071,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.027413,            0.013979,                   0,             0.81046,             0.78496,             0.83801,               0.419,            0.028355,           0.0098565,                   0,            0.006337,            0.006337,            0.006337
                  39,               0.027,            0.013889,                   0,             0.79341,             0.80704,             0.83169,             0.40729,            0.028997,           0.0096576,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.028302,            0.013845,                   0,               0.774,             0.79227,              0.7956,             0.40569,            0.027852,           0.0099378,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.027221,            0.013617,                   0,             0.76596,             0.75891,             0.79546,             0.39336,            0.028155,            0.010497,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.02679,            0.013631,                   0,             0.77919,             0.81884,             0.82722,             0.41966,            0.028219,           0.0097084,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.027146,             0.01366,                   0,             0.81345,             0.78986,             0.83614,             0.42803,            0.027976,            0.010426,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.026534,            0.013232,                   0,             0.78116,             0.80187,             0.80961,             0.40746,            0.028658,            0.010133,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.026782,            0.013224,                   0,             0.78535,              0.8042,             0.81304,             0.40972,            0.029039,            0.010192,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.025634,            0.013626,                   0,             0.82631,             0.76994,             0.81763,             0.40483,            0.028425,             0.01008,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.026065,            0.012916,                   0,             0.81343,             0.78019,              0.8217,             0.40926,            0.029345,            0.010666,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.026836,            0.013573,                   0,             0.80998,             0.78261,              0.8243,             0.41984,            0.028674,            0.010813,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.02636,            0.013445,                   0,             0.84568,             0.76329,             0.84043,             0.42283,            0.028196,            0.010259,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.025028,            0.012293,                   0,             0.82094,             0.77522,             0.82588,             0.40687,            0.028759,            0.010703,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.025659,             0.01314,                   0,             0.80427,             0.75121,             0.80286,             0.39452,            0.029638,            0.010893,                   0,             0.00505,             0.00505,             0.00505
